aalib 1.4rc5-19
libvirt 1:12.1.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:12.1.0-1
libvncserver 0.9.15-1
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.15.2-3
libvterm 0.3.3-2
libwacom 2.18.0-2
libwbclient 2:4.23.6-1
libwebp 1.6.0-2
libwireplumber 0.5.13-1
libwnck3 43.3-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-1
libxdp 1.6.2-1
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxml2 2.15.2-1
libxmlb 0.3.25-1
libxmu 1.3.1-1
libxnvctrl-580xx 580.142-1
libxpm 3.5.18-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
licenses 20240728-1
lilv 0.26.4-1
linux 6.19.8.arch1-1
linux-api-headers 6.19-1
linux-firmware 20260309-1
linux-firmware-amdgpu 20260309-1
linux-firmware-atheros 20260309-1
linux-firmware-broadcom 20260309-1
linux-firmware-cirrus 20260309-1
linux-firmware-intel 20260309-1
linux-firmware-mediatek 20260309-1
linux-firmware-nvidia 20260309-1
linux-firmware-other 20260309-1
linux-firmware-radeon 20260309-1
linux-firmware-realtek 20260309-1
linux-firmware-whence 20260309-1
linux-headers 6.19.8.arch1-1
llvm-libs 22.1.1-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.10.2-1
loupe 49.2-1
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1772619647+659a616-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-1
mailcap 2.1.54-2
make 4.4.1-2
malcontent 0.13.1-1
man-db 2.13.1-1
mdadm 4.5-2
mesa 1:26.0.2-1
mjpegtools 2.2.1-3
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-9
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
msgraph 0.3.4-1
mtdev 1.1.7-1
multipath-tools 0.14.3-1
mutter 49.5-1
nano 8.7.1-1
nautilus 49.5-1
ncdu 2.9.2-1
ncurses 6.6-1
ndctl 82-1
neon 0.36.0-1
neovim 0.11.6-1
net-snmp 5.9.5.2-1
nettle 3.10.2-1
networkmanager 1.56.0-1
nftables 1:1.1.6-3
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.38.2-1
nss 3.121-1
numactl 2.0.19-1
nvidia-580xx-dkms 580.142-1
nvidia-580xx-settings 580.142-1
nvidia-580xx-settings-debug 580.142-1
nvidia-580xx-utils 580.142-1
nvidia-container-toolkit 1.19.0-1
nvidia-prime 1.0-5
nvtop 3.3.2-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
openal 1.25.1-1
opencore-amr 0.1.6-2
openexr 3.4.7-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.26.3-3
openssh 10.2p1-2
openssl 3.6.1-1
opus 1.6.1-1
orc 0.4.42-1
orca 49.6-1
osinfo-db 20251212-1
ostree 2025.7-3
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-mirrorlist 20260213-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.0-2
pangomm-2.48 2.56.1-1
papers 49.4-1
parted 3.6-2
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.0-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.34-1
phodav 3.0-4
pinentry 1.3.2-2
pipewire 1:1.6.2-1
pipewire-audio 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pipewire-session-manager 1:1.6.2-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 127-3
poppler 26.03.0-1
poppler-data 0.4.12-2
poppler-glib 26.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.6-1
protobuf 33.1-4
protobuf-c 1.5.2-8
psmisc 23.7-1
pulse-native-provider 1:1.6.2-1
python 3.14.3-1
python-argcomplete 3.6.3-1
python-brltty 6.9-1
python-cairo 1.29.0-2
python-charset-normalizer 3.4.6-1
python-dasbus 1.7-5
python-dbus 1.4.0-2
python-defusedxml 0.7.1-8
python-gobject 3.54.5-2
python-idna 3.11-2
python-psutil 7.2.2-1
python-pyxdg 0.28-7
python-requests 2.32.5-4
python-setproctitle 1.3.7-2
python-systemd 235-5
python-typing_extensions 4.15.0-3
python-urllib3 2.6.3-1
qemu-audio-alsa 10.2.2-1
qemu-audio-dbus 10.2.2-1
qemu-audio-jack 10.2.2-1
qemu-audio-oss 10.2.2-1
qemu-audio-pa 10.2.2-1
qemu-audio-pipewire 10.2.2-1
qemu-audio-sdl 10.2.2-1
qemu-audio-spice 10.2.2-1
qemu-base 10.2.2-1
qemu-block-curl 10.2.2-1
qemu-block-dmg 10.2.2-1
qemu-block-gluster 10.2.2-1
qemu-block-iscsi 10.2.2-1
qemu-block-nfs 10.2.2-1
qemu-block-ssh 10.2.2-1
qemu-chardev-baum 10.2.2-1
qemu-chardev-spice 10.2.2-1
qemu-common 10.2.2-1
qemu-desktop 10.2.2-1
qemu-docs 10.2.2-1
qemu-emulators-full 10.2.2-1
qemu-full 10.2.2-1
qemu-hw-display-qxl 10.2.2-1
qemu-hw-display-virtio-gpu 10.2.2-1
qemu-hw-display-virtio-gpu-gl 10.2.2-1
qemu-hw-display-virtio-gpu-pci 10.2.2-1
qemu-hw-display-virtio-gpu-pci-gl 10.2.2-1
qemu-hw-display-virtio-gpu-pci-rutabaga 10.2.2-1
qemu-hw-display-virtio-gpu-rutabaga 10.2.2-1
qemu-hw-display-virtio-vga 10.2.2-1
qemu-hw-display-virtio-vga-gl 10.2.2-1
qemu-hw-display-virtio-vga-rutabaga 10.2.2-1
qemu-hw-s390x-virtio-gpu-ccw 10.2.2-1
qemu-hw-uefi-vars 10.2.2-1
qemu-hw-usb-host 10.2.2-1
qemu-hw-usb-redirect 10.2.2-1
qemu-hw-usb-smartcard 10.2.2-1
qemu-img 10.2.2-1
qemu-pr-helper 10.2.2-1
qemu-system-aarch64 10.2.2-1
qemu-system-alpha 10.2.2-1
qemu-system-alpha-firmware 10.2.2-1
qemu-system-arm 10.2.2-1
qemu-system-arm-firmware 10.2.2-1
qemu-system-avr 10.2.2-1
qemu-system-hppa 10.2.2-1
qemu-system-hppa-firmware 10.2.2-1
qemu-system-loongarch64 10.2.2-1
qemu-system-m68k 10.2.2-1
qemu-system-microblaze 10.2.2-1
qemu-system-microblaze-firmware 10.2.2-1
qemu-system-mips 10.2.2-1
qemu-system-or1k 10.2.2-1
qemu-system-ppc 10.2.2-1
qemu-system-ppc-firmware 10.2.2-1
qemu-system-riscv 10.2.2-1
qemu-system-riscv-firmware 10.2.2-1
qemu-system-rx 10.2.2-1
qemu-system-s390x 10.2.2-1
qemu-system-s390x-firmware 10.2.2-1
qemu-system-sh4 10.2.2-1
qemu-system-sparc 10.2.2-1
qemu-system-sparc-firmware 10.2.2-1
qemu-system-tricore 10.2.2-1
qemu-system-x86 10.2.2-1
qemu-system-x86-firmware 10.2.2-1
qemu-system-xtensa 10.2.2-1
qemu-tests 10.2.2-1
qemu-tools 10.2.2-1
qemu-ui-curses 10.2.2-1
qemu-ui-dbus 10.2.2-1
qemu-ui-egl-headless 10.2.2-1
qemu-ui-gtk 10.2.2-1
qemu-ui-opengl 10.2.2-1
qemu-ui-sdl 10.2.2-1
qemu-ui-spice-app 10.2.2-1
qemu-ui-spice-core 10.2.2-1
qemu-user 10.2.2-1
qemu-vhost-user-gpu 10.2.2-1
qemu-vmsr-helper 10.2.2-1
qrencode 4.1.1-4
raptor 2.0.16-9
rav1e 0.8.1-2
rdma-core 62.0-1
readline 8.3.003-1
rpcbind 1.2.8-1
rtkit 0.14-1
rtmpdump 1:2.6-1
rubberband 4.0.0-1
runc 1.4.1-1
rutabaga-ffi 0.1.75-1
rygel 1:45.1-1
sane 1.4.0-4
sbc 2.2-1
sdl2-compat 2.32.64-1
sdl2_image 2.8.8-1
sdl3 3.4.2-1
sdl3_ttf 3.2.2-3
seabios 1.17.0-2
sed 4.9-3
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
showtime 49.1-2
simple-scan 49.1-1
slang 2.3.3-4
smbclient 2:4.23.6-1
snappy 1.2.2-3
snapshot 49.1-1
sndio 1.10.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-7
speech-dispatcher 0.12.1-3
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-2
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.341.0-2
sqlite 3.52.0-1
sratom 0.6.22-1
srt 1.5.4-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
sushi 46.0-2
svt-av1 4.0.1-1
svt-hevc 1.5.1-3
swtpm 0.10.1-1
systemd 259.5-1
systemd-libs 259.5-1
systemd-sysvcompat 259.5-1
taglib 2.2.1-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tecla 49.0-1
tevent 1:0.17.1-2
texinfo 7.2-1
tinysparql 3.10.1-2
tmux 3.6_a-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
tree 2.3.1-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.5.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.8.1-1
tree-sitter-vimdoc 4.0.0-1
twolame 0.4.0-4
tzdata 2026a-1
uchardet 0.0.8-3
udisks2 2.11.1-2
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.1-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
v4l-utils 1.32.0-2
vapoursynth 73-2
vde2 2.3.3-8
vid.stab 1.1.1-2
virglrenderer 1.2.0-1
virt-install 5.1.0-3
virt-manager 5.1.0-3
virtiofsd 1.13.3-1
vmaf 3.0.0-2
volume_key 0.3.12-12
vte-common 0.82.3-1
vte3 0.82.3-1
vte4 0.82.3-1
vulkan-headers 1:1.4.341.0-1
vulkan-icd-loader 1.4.341.0-1
wavpack 5.9.0-1
wayland 1.24.0-1
webkit2gtk-4.1 2.50.6-1
webkitgtk-6.0 2.50.6-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
wildmidi 0.4.6-1
wireplumber 0.5.13-1
woff2 1.0.2-6
wolfssl 5.8.4-1
wpa_supplicant 2:2.11-5
wsdd 0.9-2
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xf86-video-vesa 2.6.0-2
xkeyboard-config 2.47-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.6-1
xorg-fonts-alias-75dpi 1.0.6-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-server-devel 21.1.21-1
xorg-server-src 21.1.21-1
xorg-server-xephyr 21.1.21-1
xorg-server-xnest 21.1.21-1
